,Unnamed: 0,type,category,review,star,token_review
426,426,아이폰12프로,만족도,"빠른 배송.. 매우 만족합니다..
빠른 배송.. 매우 만족합니다..",5,"['빠른', '배송', '매우', '만족합니다', '\n', '빠른', '배송', '매우', '만족합니다']"
427,427,아이폰12프로,만족도,"빠른 배송 정말 고맙습니다.
빠른 배송 정말 고맙습니다.",5,"['빠른', '배송', '정말', '고맙습니다', '\n', '빠른', '배송', '정말', '고맙습니다']"
428,428,아이폰12프로,만족도,"힘들게 구한만큼 이쁘네요
힘들게 구한만큼 이쁘네요",5,"['힘들게', '구한', '만큼', '이쁘네요', '\n', '힘들게', '구한', '만큼', '이쁘네요']"
429,429,아이폰12프로,만족도,"좋아요. 잘쓰겠습니다.
좋아요. 잘쓰겠습니다.",5,"['좋아요', '잘쓰겠습니다', '\n', '좋아요', '잘쓰겠습니다']"
430,430,아이폰12프로,만족도,"화질도 좋구 조ㅎ아요
화질도 좋구 조ㅎ아요",5,"['화질', '도', '좋구', '조아요', '\n', '화질', '도', '좋구', '조아요']"
431,431,아이폰12프로,만족도,"너무 잘 쓰고 있어요!
너무 잘 쓰고 있어요!",5,"['너무', '잘', '쓰고', '있어요', '\n', '너무', '잘', '쓰고', '있어요']"
432,432,아이폰12프로,만족도,"굿굿숫 맘에드렁여!!
굿굿숫 맘에드렁여!!",5,"['굿굿숫', '맘에드렁', '여', '\n', '굿굿숫', '맘에드렁', '여']"
433,433,아이폰12프로,만족도,"제품 만족합니다..
제품 만족합니다..",5,"['제품', '만족합니다', '\n', '제품', '만족합니다']"
434,434,아이폰12프로,만족도,"퍼시픽블루 꼭 사세요색진짜 볼수록 예뻐요화이트랑 그래파이트랑 진짜 고민많이했는데블루가 최곤가같아요
퍼시픽블루 꼭 사세요
색진짜 볼수록 예뻐요
화이트랑 그래파이트랑 진짜 고민많이했는데
블루가 최곤가같아요",5,"['퍼시픽', '블루', '꼭', '사세요', '색', '진짜', '볼수록', '예뻐요', '화이트', '랑', '그래', '파이트', '랑', '진짜', '고민', '많이', '했는데', '블루', '가', '최곤', '가', '같아요', '\n', '퍼시픽', '블루', '꼭', '사세요', '\n', '색', '진짜', '볼수록', '예뻐요', '\n', '화이트', '랑', '그래', '파이트', '랑', '진짜', '고민', '많이', '했는데', '\n', '블루', '가', '최곤', '가', '같아요']"
435,435,아이폰12프로,만족도,"배송이ㅜㅜ
배송이 느린것빼고는 상품은 잘 받았습니다 근데 배송이 느리더라도 그래파이트색상 갖고싶었으니 후회없어요",4,"['배송', '이', '\n', '배송', '이', '느린것', '빼고는', '상품', '은', '잘', '받았습니다', '근데', '배송', '이', '느리더라도', '그래', '파이트', '색상', '갖고싶었으니', '후회', '없어요']"
